"","method","r","Sd","sample_size","ESS_group","Period","accuracy","precision"
"333","OLE_resamp_norm",0.06,20,40,5,"Holocene",100,2142.78214537351
"334","OLE_resamp_norm",0.06,20,40,5,"Pleistocene",100,5120.32870902338
"335","OLE_resamp_norm",0.06,20,80,10,"Holocene",100,830.862200652379
"336","OLE_resamp_norm",0.06,20,80,10,"Pleistocene",100,2013.05311400415
"337","OLE_resamp_norm",0.06,20,80,40,"Holocene",99.8971193415638,856.596855915833
"338","OLE_resamp_norm",0.06,20,80,40,"Pleistocene",100,1687.94331268265
"339","OLE_resamp_norm",0.06,20,80,5,"Holocene",100,1867.08267282267
"340","OLE_resamp_norm",0.06,20,80,5,"Pleistocene",100,4725.24264069328
"341","OLE_resamp_norm",0.06,20,80,80,"Holocene",98.9711934156379,1315.83910627576
"342","OLE_resamp_norm",0.06,20,80,80,"Pleistocene",100,2184.20944872669
"343","OLE_resamp_norm",0.06,50,10,10,"Holocene",99.3820803295572,2309.41498583183
"344","OLE_resamp_norm",0.06,50,10,10,"Pleistocene",100,3255.19535553817
"345","OLE_resamp_norm",0.06,50,10,5,"Holocene",100,4314.5179659302
"346","OLE_resamp_norm",0.06,50,10,5,"Pleistocene",100,6713.92165814643
"347","OLE_resamp_norm",0.06,50,40,10,"Holocene",100,1368.7417041236
"348","OLE_resamp_norm",0.06,50,40,10,"Pleistocene",100,2331.7948150893
"349","OLE_resamp_norm",0.06,50,40,40,"Holocene",99.794026776519,1576.22332615704
"350","OLE_resamp_norm",0.06,50,40,40,"Pleistocene",100,2300.14641644142
"351","OLE_resamp_norm",0.06,50,40,5,"Holocene",100,3050.30928253864
"352","OLE_resamp_norm",0.06,50,40,5,"Pleistocene",100,5384.0056242373
"353","OLE_resamp_norm",0.06,50,80,10,"Holocene",100,1220.17486650395
"354","OLE_resamp_norm",0.06,50,80,10,"Pleistocene",100,2137.60149613352
"355","OLE_resamp_norm",0.06,50,80,40,"Holocene",100,1093.92929846794
"356","OLE_resamp_norm",0.06,50,80,40,"Pleistocene",100,1791.27124104173
"357","OLE_resamp_norm",0.06,50,80,5,"Holocene",100,2836.66464368454
"358","OLE_resamp_norm",0.06,50,80,5,"Pleistocene",100,5013.48543904654
"359","OLE_resamp_norm",0.06,50,80,80,"Holocene",100,1541.08449829672
"360","OLE_resamp_norm",0.06,50,80,80,"Pleistocene",100,2283.80813345684
"361","OLE_resamp_unif",0.01,20,10,10,"Holocene",93.4088568486097,2189.73336971525
"362","OLE_resamp_unif",0.01,20,10,10,"Pleistocene",99.7,3217.41818495878
"363","OLE_resamp_unif",0.01,20,10,5,"Holocene",99.8970133882595,4469.939555644
"364","OLE_resamp_unif",0.01,20,10,5,"Pleistocene",100,6658.6976343792
"365","OLE_resamp_unif",0.01,20,40,10,"Holocene",98.2492276004119,1344.50227823385
"366","OLE_resamp_unif",0.01,20,40,10,"Pleistocene",99.9,2163.18774382618
"367","OLE_resamp_unif",0.01,20,40,40,"Holocene",89.0834191555098,1433.14417303971
"368","OLE_resamp_unif",0.01,20,40,40,"Pleistocene",99.2,2207.54327384566
"369","OLE_resamp_unif",0.01,20,40,5,"Holocene",100,2971.57438882098
"370","OLE_resamp_unif",0.01,20,40,5,"Pleistocene",100,4841.86262937902
"371","OLE_resamp_unif",0.01,20,80,10,"Holocene",99.1761071060762,1113.03665108887
"372","OLE_resamp_unif",0.01,20,80,10,"Pleistocene",96.4,1813.25829124621
"373","OLE_resamp_unif",0.01,20,80,40,"Holocene",97.1163748712667,1046.96795282236
"374","OLE_resamp_unif",0.01,20,80,40,"Pleistocene",100,1642.82597427264
"375","OLE_resamp_unif",0.01,20,80,5,"Holocene",99.8970133882595,2554.55058235032
"376","OLE_resamp_unif",0.01,20,80,5,"Pleistocene",100,4163.40619476802
"377","OLE_resamp_unif",0.01,20,80,80,"Holocene",92.9969104016478,1367.3017493635
"378","OLE_resamp_unif",0.01,20,80,80,"Pleistocene",99.7,2135.52093989442
"379","OLE_resamp_unif",0.01,50,10,10,"Holocene",98.1462409886715,2453.32685702208
"380","OLE_resamp_unif",0.01,50,10,10,"Pleistocene",99.9,3344.27154729109
"381","OLE_resamp_unif",0.01,50,10,5,"Holocene",100,5177.43309650447
"382","OLE_resamp_unif",0.01,50,10,5,"Pleistocene",100,7029.95172919375
"383","OLE_resamp_unif",0.01,50,40,10,"Holocene",100,1552.1454906597
"384","OLE_resamp_unif",0.01,50,40,10,"Pleistocene",100,2183.78439071348
"385","OLE_resamp_unif",0.01,50,40,40,"Holocene",96.086508753862,1609.76595481478
"386","OLE_resamp_unif",0.01,50,40,40,"Pleistocene",99.4,2277.53318467034
"387","OLE_resamp_unif",0.01,50,40,5,"Holocene",100,3465.23759295766
"388","OLE_resamp_unif",0.01,50,40,5,"Pleistocene",100,4814.69788986245
"389","OLE_resamp_unif",0.01,50,80,10,"Holocene",100,1369.03654364322
"390","OLE_resamp_unif",0.01,50,80,10,"Pleistocene",96.5,1863.97145402935
"391","OLE_resamp_unif",0.01,50,80,40,"Holocene",99.794026776519,1237.65612254579
"392","OLE_resamp_unif",0.01,50,80,40,"Pleistocene",100,1695.13496372829
"393","OLE_resamp_unif",0.01,50,80,5,"Holocene",100,3182.8800084629
"394","OLE_resamp_unif",0.01,50,80,5,"Pleistocene",100,4245.0105298599
"395","OLE_resamp_unif",0.01,50,80,80,"Holocene",98.7641606591143,1571.63306392892
"396","OLE_resamp_unif",0.01,50,80,80,"Pleistocene",99.9,2211.59411454535
"397","OLE_resamp_unif",0.03,20,10,10,"Holocene",97.3223480947477,2090.07119751931
"398","OLE_resamp_unif",0.03,20,10,10,"Pleistocene",99.9,3219.97005191915
"399","OLE_resamp_unif",0.03,20,10,5,"Holocene",100,3745.17492609389
"400","OLE_resamp_unif",0.03,20,10,5,"Pleistocene",100,6522.8746015551
"401","OLE_resamp_unif",0.03,20,40,10,"Holocene",99.6910401647786,1075.52796349243
"402","OLE_resamp_unif",0.03,20,40,10,"Pleistocene",100,1906.2827875976
"403","OLE_resamp_unif",0.03,20,40,40,"Holocene",95.3656024716787,1385.53798986854
"404","OLE_resamp_unif",0.03,20,40,40,"Pleistocene",100,2185.13351816347
"405","OLE_resamp_unif",0.03,20,40,5,"Holocene",100,2343.84331946896
"406","OLE_resamp_unif",0.03,20,40,5,"Pleistocene",100,4119.97885110241
"407","OLE_resamp_unif",0.03,20,80,10,"Holocene",99.4850669412976,873.400149319662
"408","OLE_resamp_unif",0.03,20,80,10,"Pleistocene",94.8,1571.00694407116
"409","OLE_resamp_unif",0.03,20,80,40,"Holocene",98.3522142121524,889.613126658659
"410","OLE_resamp_unif",0.03,20,80,40,"Pleistocene",100,1525.45944256282
"411","OLE_resamp_unif",0.03,20,80,5,"Holocene",100,1955.12970950086
"412","OLE_resamp_unif",0.03,20,80,5,"Pleistocene",100,3560.56861963489
"413","OLE_resamp_unif",0.03,20,80,80,"Holocene",96.3954685890834,1328.96579571402
"414","OLE_resamp_unif",0.03,20,80,80,"Pleistocene",100,2122.27101531587
"415","OLE_resamp_unif",0.03,50,10,10,"Holocene",99.6913580246914,2409.37449473254
"416","OLE_resamp_unif",0.03,50,10,10,"Pleistocene",99.9,3357.13993588838
"417","OLE_resamp_unif",0.03,50,10,5,"Holocene",100,4737.82559652607
"418","OLE_resamp_unif",0.03,50,10,5,"Pleistocene",100,6780.02624069777
"419","OLE_resamp_unif",0.03,50,40,10,"Holocene",100,1366.07509351872
"420","OLE_resamp_unif",0.03,50,40,10,"Pleistocene",100,2033.70014463865
"421","OLE_resamp_unif",0.03,50,40,40,"Holocene",99.4855967078189,1596.38839209088
"422","OLE_resamp_unif",0.03,50,40,40,"Pleistocene",100,2278.38017646482
"423","OLE_resamp_unif",0.03,50,40,5,"Holocene",100,2966.91378089193
"424","OLE_resamp_unif",0.03,50,40,5,"Pleistocene",100,4464.35303074043
"425","OLE_resamp_unif",0.03,50,80,10,"Holocene",100,1109.47446067547
"426","OLE_resamp_unif",0.03,50,80,10,"Pleistocene",94.3,1698.71095122449
"427","OLE_resamp_unif",0.03,50,80,40,"Holocene",100,1088.92879696464
"428","OLE_resamp_unif",0.03,50,80,40,"Pleistocene",100,1599.79636927803
"429","OLE_resamp_unif",0.03,50,80,5,"Holocene",100,2486.28030724461
"430","OLE_resamp_unif",0.03,50,80,5,"Pleistocene",100,3894.04944164128
"431","OLE_resamp_unif",0.03,50,80,80,"Holocene",99.8971193415638,1539.81804103126
"432","OLE_resamp_unif",0.03,50,80,80,"Pleistocene",100,2211.5752549759
"433","OLE_resamp_unif",0.06,20,10,10,"Holocene",97.7366255144033,2150.92756379301
"434","OLE_resamp_unif",0.06,20,10,10,"Pleistocene",99.9,3270.77061915099
"435","OLE_resamp_unif",0.06,20,10,5,"Holocene",100,3788.40273634796
"436","OLE_resamp_unif",0.06,20,10,5,"Pleistocene",100,6532.03304983817
"437","OLE_resamp_unif",0.06,20,40,10,"Holocene",100,995.10736398862
"438","OLE_resamp_unif",0.06,20,40,10,"Pleistocene",100,1923.21276420779
"439","OLE_resamp_unif",0.06,20,40,40,"Holocene",97.5308641975309,1381.79535864393
"440","OLE_resamp_unif",0.06,20,40,40,"Pleistocene",100,2213.6567111704
"441","OLE_resamp_unif",0.06,20,40,5,"Holocene",100,2071.15964652533
"442","OLE_resamp_unif",0.06,20,40,5,"Pleistocene",100,4202.52007596439
"443","OLE_resamp_unif",0.06,20,80,10,"Holocene",100,772.860095024269
"444","OLE_resamp_unif",0.06,20,80,10,"Pleistocene",94.2,1573.81725675289
"445","OLE_resamp_unif",0.06,20,80,40,"Holocene",99.2798353909465,857.591431550692
"446","OLE_resamp_unif",0.06,20,80,40,"Pleistocene",100,1521.45330135142
"447","OLE_resamp_unif",0.06,20,80,5,"Holocene",100,1665.63478834036
"448","OLE_resamp_unif",0.06,20,80,5,"Pleistocene",100,3568.23965253312
"449","OLE_resamp_unif",0.06,20,80,80,"Holocene",98.1481481481482,1329.28240929848
"450","OLE_resamp_unif",0.06,20,80,80,"Pleistocene",100,2138.26210399597
"451","OLE_resamp_unif",0.06,50,10,10,"Holocene",99.4850669412976,2385.54391583767
"452","OLE_resamp_unif",0.06,50,10,10,"Pleistocene",100,3363.35187241444
"453","OLE_resamp_unif",0.06,50,10,5,"Holocene",100,4474.77667930614
"454","OLE_resamp_unif",0.06,50,10,5,"Pleistocene",100,6642.26482707625
"455","OLE_resamp_unif",0.06,50,40,10,"Holocene",100,1327.41385406472
"456","OLE_resamp_unif",0.06,50,40,10,"Pleistocene",100,1991.91161620784
"457","OLE_resamp_unif",0.06,50,40,40,"Holocene",99.6910401647786,1609.18541825877
"458","OLE_resamp_unif",0.06,50,40,40,"Pleistocene",100,2288.68729562728
"459","OLE_resamp_unif",0.06,50,40,5,"Holocene",100,2825.72842035529
"460","OLE_resamp_unif",0.06,50,40,5,"Pleistocene",100,4329.92551717868
"461","OLE_resamp_unif",0.06,50,80,10,"Holocene",100,1091.39063244849
"462","OLE_resamp_unif",0.06,50,80,10,"Pleistocene",92.7,1677.43051154463
"463","OLE_resamp_unif",0.06,50,80,40,"Holocene",100,1080.63197928925
"464","OLE_resamp_unif",0.06,50,80,40,"Pleistocene",100,1608.3468002627
"465","OLE_resamp_unif",0.06,50,80,5,"Holocene",100,2458.75641515934
"466","OLE_resamp_unif",0.06,50,80,5,"Pleistocene",100,3785.69123921795
"467","OLE_resamp_unif",0.06,50,80,80,"Holocene",100,1555.8575778359
"468","OLE_resamp_unif",0.06,50,80,80,"Pleistocene",100,2235.35770794795
"469","oxcal_trap",0.01,20,10,10,"Holocene",80.5732484076433,553.960191082803
"470","oxcal_trap",0.01,20,10,10,"Pleistocene",82.8,807.857
"471","oxcal_trap",0.01,20,40,40,"Holocene",92.7889713679746,286.548250265111
"472","oxcal_trap",0.01,20,40,40,"Pleistocene",92.7,456.7315
"473","oxcal_trap",0.01,20,80,80,"Holocene",87.168610816543,205.562036055143
"474","oxcal_trap",0.01,20,80,80,"Pleistocene",91.9,366.2535
"475","oxcal_trap",0.01,50,10,10,"Holocene",83.1389183457052,632.314422057264
"476","oxcal_trap",0.01,50,10,10,"Pleistocene",83.5,842.5685
"477","oxcal_trap",0.01,50,40,40,"Holocene",92.2587486744433,331.134676564157
"478","oxcal_trap",0.01,50,40,40,"Pleistocene",93.9,479.734
"479","oxcal_trap",0.01,50,80,80,"Holocene",89.6076352067869,252.153764581124
"480","oxcal_trap",0.01,50,80,80,"Pleistocene",91.5,380.305
"481","oxcal_trap",0.03,20,10,10,"Holocene",85.0477200424178,598.576352067868
"482","oxcal_trap",0.03,20,10,10,"Pleistocene",83.9,812.8275
"483","oxcal_trap",0.03,20,40,40,"Holocene",99.2569002123142,290.432590233546
"484","oxcal_trap",0.03,20,40,40,"Pleistocene",98.4,472.385
"485","oxcal_trap",0.03,20,80,80,"Holocene",98.0932203389831,193.060911016949
"486","oxcal_trap",0.03,20,80,80,"Pleistocene",99.1,363.6625
"487","oxcal_trap",0.03,50,10,10,"Holocene",86.8504772004242,672.194591728526
"488","oxcal_trap",0.03,50,10,10,"Pleistocene",85.5,866.698
"489","oxcal_trap",0.03,50,40,40,"Holocene",99.2576882290562,333.401908801697
"490","oxcal_trap",0.03,50,40,40,"Pleistocene",98.8,490.6135
"491","oxcal_trap",0.03,50,80,80,"Holocene",98.5153764581124,233.185047720042
"492","oxcal_trap",0.03,50,80,80,"Pleistocene",98.1,380.877
"493","oxcal_trap",0.06,20,10,10,"Holocene",83.0328738069989,602.827677624602
"494","oxcal_trap",0.06,20,10,10,"Pleistocene",85.1,845.7285
"495","oxcal_trap",0.06,20,40,40,"Holocene",99.1516436903499,295.019088016967
"496","oxcal_trap",0.06,20,40,40,"Pleistocene",96.8,480.7735
"497","oxcal_trap",0.06,20,80,80,"Holocene",98.9395546129374,192.391304347826
"498","oxcal_trap",0.06,20,80,80,"Pleistocene",97.9,364.4195
"499","oxcal_trap",0.06,50,10,10,"Holocene",83.6691410392365,663.643160127253
"500","oxcal_trap",0.06,50,10,10,"Pleistocene",85.5,869.118
"501","oxcal_trap",0.06,50,40,40,"Holocene",98.1972428419936,335.432661717922
"502","oxcal_trap",0.06,50,40,40,"Pleistocene",98.2,499.477
"503","oxcal_trap",0.06,50,80,80,"Holocene",99.1507430997877,231.259023354565
"504","oxcal_trap",0.06,50,80,80,"Pleistocene",95.9,382.499
"505","oxcal_unif",0.01,20,10,10,"Holocene",58.0786026200873,320.587336244541
"506","oxcal_unif",0.01,20,10,10,"Pleistocene",64.9,553.809
"507","oxcal_unif",0.01,20,40,40,"Holocene",35.815991237678,147.972070098576
"508","oxcal_unif",0.01,20,40,40,"Pleistocene",44.8,317.8655
"509","oxcal_unif",0.01,20,80,80,"Holocene",19.4535519125683,98.0814207650273
"510","oxcal_unif",0.01,20,80,80,"Pleistocene",23.6,230.3155
"511","oxcal_unif",0.01,50,10,10,"Holocene",61.7067833698031,384.912472647702
"512","oxcal_unif",0.01,50,10,10,"Pleistocene",67.4,568.881
"513","oxcal_unif",0.01,50,40,40,"Holocene",36.7213114754098,194.527868852459
"514","oxcal_unif",0.01,50,40,40,"Pleistocene",48.9,337.4875
"515","oxcal_unif",0.01,50,80,80,"Holocene",16.4293537787514,134.513143483023
"516","oxcal_unif",0.01,50,80,80,"Pleistocene",25.5,244.834
"517","oxcal_unif",0.03,20,10,10,"Holocene",75.684556407448,324.287513691128
"518","oxcal_unif",0.03,20,10,10,"Pleistocene",78.3,560.1325
"519","oxcal_unif",0.03,20,40,40,"Holocene",67.1397379912664,152.288755458515
"520","oxcal_unif",0.03,20,40,40,"Pleistocene",80.7,323.553
"521","oxcal_unif",0.03,20,80,80,"Holocene",49.2880613362541,106.826396495071
"522","oxcal_unif",0.03,20,80,80,"Pleistocene",70.6,237.013
"523","oxcal_unif",0.03,50,10,10,"Holocene",76.8893756845564,391.861993428258
"524","oxcal_unif",0.03,50,10,10,"Pleistocene",77.4,581.36
"525","oxcal_unif",0.03,50,40,40,"Holocene",74.7540983606557,196.709836065574
"526","oxcal_unif",0.03,50,40,40,"Pleistocene",84.2,344.958
"527","oxcal_unif",0.03,50,80,80,"Holocene",57.8774617067834,139.853938730853
"528","oxcal_unif",0.03,50,80,80,"Pleistocene",74.3,250.788
"529","oxcal_unif",0.06,20,10,10,"Holocene",77.8993435448578,330.106673960613
"530","oxcal_unif",0.06,20,10,10,"Pleistocene",79.4,559.4205
"531","oxcal_unif",0.06,20,40,40,"Holocene",81.3800657174151,156.261774370208
"532","oxcal_unif",0.06,20,40,40,"Pleistocene",90.9,331.353
"533","oxcal_unif",0.06,20,80,80,"Holocene",73.9082969432314,109.0403930131
"534","oxcal_unif",0.06,20,80,80,"Pleistocene",87.2,238.4345
"535","oxcal_unif",0.06,50,10,10,"Holocene",82.4235807860262,407.401746724891
"536","oxcal_unif",0.06,50,10,10,"Pleistocene",79.1,586.1075
"537","oxcal_unif",0.06,50,40,40,"Holocene",87.2946330777656,199.217415115005
"538","oxcal_unif",0.06,50,40,40,"Pleistocene",87.9,347.9015
"539","oxcal_unif",0.06,50,80,80,"Holocene",80.3493449781659,141.53056768559
"540","oxcal_unif",0.06,50,80,80,"Pleistocene",88.4,254.016
