"","method","r","Sd","sample_size","ESS_group","Period","accuracy","precision"
"84","OLE_medians",0.03,20,80,10,"Pleistocene",98.1,1191.53435019137
"85","OLE_medians",0.03,20,80,40,"Holocene",81.5653964984552,729.228924011506
"86","OLE_medians",0.03,20,80,40,"Pleistocene",96.8,1096.12618837653
"87","OLE_medians",0.03,20,80,5,"Holocene",88.4654994850669,2157.23766697593
"88","OLE_medians",0.03,20,80,5,"Pleistocene",98.2,2652.86798500133
"89","OLE_medians",0.03,20,80,80,"Holocene",78.6817713697219,1181.92234539
"90","OLE_medians",0.03,20,80,80,"Pleistocene",94.5,1562.04158474667
"91","OLE_medians",0.03,50,10,10,"Holocene",90.2263374485597,2033.64911462106
"92","OLE_medians",0.03,50,10,10,"Pleistocene",92.5,2392.43959155073
"93","OLE_medians",0.03,50,10,5,"Holocene",93.9300411522634,3621.00269103004
"94","OLE_medians",0.03,50,10,5,"Pleistocene",97.2,4601.26643614463
"95","OLE_medians",0.03,50,40,10,"Holocene",89.1975308641975,962.341967575216
"96","OLE_medians",0.03,50,40,10,"Pleistocene",96.7,1452.45873078896
"97","OLE_medians",0.03,50,40,40,"Holocene",82.0987654320988,1289.48129794607
"98","OLE_medians",0.03,50,40,40,"Pleistocene",92,1630.26564652882
"99","OLE_medians",0.03,50,40,5,"Holocene",95.0617283950617,2280.78566399247
"100","OLE_medians",0.03,50,40,5,"Pleistocene",98.5,3412.10840301316
"101","OLE_medians",0.03,50,80,10,"Holocene",92.9012345679012,809.895223987831
"102","OLE_medians",0.03,50,80,10,"Pleistocene",98.1,1255.1064042806
"103","OLE_medians",0.03,50,80,40,"Holocene",89.7119341563786,804.273811089073
"104","OLE_medians",0.03,50,80,40,"Pleistocene",97.4,1133.21314387184
"105","OLE_medians",0.03,50,80,5,"Holocene",96.7078189300412,2089.8361845316
"106","OLE_medians",0.03,50,80,5,"Pleistocene",98.5,2816.30539047568
"107","OLE_medians",0.03,50,80,80,"Holocene",86.6255144032922,1246.00951604682
"108","OLE_medians",0.03,50,80,80,"Pleistocene",94.8,1605.623321662
"109","OLE_medians",0.06,20,10,10,"Holocene",90.5349794238683,1916.85480022972
"110","OLE_medians",0.06,20,10,10,"Pleistocene",94,2404.49543961379
"111","OLE_medians",0.06,20,10,5,"Holocene",94.4444444444444,3163.55236683515
"112","OLE_medians",0.06,20,10,5,"Pleistocene",97.7,4649.95673798896
"113","OLE_medians",0.06,20,40,10,"Holocene",84.0534979423868,712.025045854541
"114","OLE_medians",0.06,20,40,10,"Pleistocene",97.7,1373.17192571494
"115","OLE_medians",0.06,20,40,40,"Holocene",82.0987654320988,1201.79751872015
"116","OLE_medians",0.06,20,40,40,"Pleistocene",93.7,1613.10761435404
"117","OLE_medians",0.06,20,40,5,"Holocene",90.2263374485597,1883.58567525848
"118","OLE_medians",0.06,20,40,5,"Pleistocene",98.8,3264.93124245111
"119","OLE_medians",0.06,20,80,10,"Holocene",86.8312757201646,589.353220058186
"120","OLE_medians",0.06,20,80,10,"Pleistocene",98.8,1156.08116478553
"121","OLE_medians",0.06,20,80,40,"Holocene",84.8765432098765,691.725805536056
"122","OLE_medians",0.06,20,80,40,"Pleistocene",99.2,1071.77468438529
"123","OLE_medians",0.06,20,80,5,"Holocene",90.843621399177,1829.2053889712
"124","OLE_medians",0.06,20,80,5,"Pleistocene",97.7,2688.1491435127
"125","OLE_medians",0.06,20,80,80,"Holocene",82.9218106995885,1174.29163190058
"126","OLE_medians",0.06,20,80,80,"Pleistocene",97.3,1576.23408421155
"127","OLE_medians",0.06,50,10,10,"Holocene",91.5550978372812,1981.92163110735
"128","OLE_medians",0.06,50,10,10,"Pleistocene",93.1,2403.65809207464
"129","OLE_medians",0.06,50,10,5,"Holocene",95.5715756951596,3459.16704676044
"130","OLE_medians",0.06,50,10,5,"Pleistocene",96.8,4449.72562603704
"131","OLE_medians",0.06,50,40,10,"Holocene",91.967044284243,905.577955959955
"132","OLE_medians",0.06,50,40,10,"Pleistocene",98.2,1461.01595239184
"133","OLE_medians",0.06,50,40,40,"Holocene",86.6117404737384,1294.85430228321
"134","OLE_medians",0.06,50,40,40,"Pleistocene",93.5,1654.92389297798
"135","OLE_medians",0.06,50,40,5,"Holocene",96.3954685890834,2203.09839572591
"136","OLE_medians",0.06,50,40,5,"Pleistocene",98.6,3415.98820213622
"137","OLE_medians",0.06,50,80,10,"Holocene",94.6446961894954,812.086806987869
"138","OLE_medians",0.06,50,80,10,"Pleistocene",98.5,1258.9423968095
"139","OLE_medians",0.06,50,80,40,"Holocene",92.5849639546859,793.414376673509
"140","OLE_medians",0.06,50,80,40,"Pleistocene",98.8,1133.54181820332
"141","OLE_medians",0.06,50,80,5,"Holocene",97.9402677651905,2114.85144575232
"142","OLE_medians",0.06,50,80,5,"Pleistocene",98.2,2746.77282662176
"143","OLE_medians",0.06,50,80,80,"Holocene",91.8640576725026,1260.30147319274
"144","OLE_medians",0.06,50,80,80,"Pleistocene",97.9,1625.59974229378
"145","OLE_resamp_caldate",0.01,20,10,10,"Holocene",89.9073120494336,2089.08147744973
"146","OLE_resamp_caldate",0.01,20,10,10,"Pleistocene",98.1,2756.70967056531
"147","OLE_resamp_caldate",0.01,20,10,5,"Holocene",98.6611740473738,4058.45560887692
"148","OLE_resamp_caldate",0.01,20,10,5,"Pleistocene",100,5763.11506173883
"149","OLE_resamp_caldate",0.01,20,40,10,"Holocene",95.9835221421215,1217.23534166583
"150","OLE_resamp_caldate",0.01,20,40,10,"Pleistocene",99.8,1955.58007212833
"151","OLE_resamp_caldate",0.01,20,40,40,"Holocene",83.8311019567456,1353.61006448129
"152","OLE_resamp_caldate",0.01,20,40,40,"Pleistocene",96.1,1907.72611133851
"153","OLE_resamp_caldate",0.01,20,40,5,"Holocene",99.794026776519,2573.02981179762
"154","OLE_resamp_caldate",0.01,20,40,5,"Pleistocene",100,4422.21315300732
"155","OLE_resamp_caldate",0.01,20,80,10,"Holocene",98.5581874356334,959.373707082786
"156","OLE_resamp_caldate",0.01,20,80,10,"Pleistocene",100,1688.39678501892
"157","OLE_resamp_caldate",0.01,20,80,40,"Holocene",94.2327497425335,962.924496729401
"158","OLE_resamp_caldate",0.01,20,80,40,"Pleistocene",99.9,1478.59175183266
"159","OLE_resamp_caldate",0.01,20,80,5,"Holocene",99.8970133882595,2052.19944947235
"160","OLE_resamp_caldate",0.01,20,80,5,"Pleistocene",100,3949.42229579056
"161","OLE_resamp_caldate",0.01,20,80,80,"Holocene",87.7445932028836,1288.9088177082
"162","OLE_resamp_caldate",0.01,20,80,80,"Pleistocene",98.5,1858.19563720752
"163","OLE_resamp_caldate",0.01,50,10,10,"Holocene",93.8208032955716,2241.22364785168
"164","OLE_resamp_caldate",0.01,50,10,10,"Pleistocene",97.6,2831.91695185715
"165","OLE_resamp_caldate",0.01,50,10,5,"Holocene",100,4486.83207270296
"166","OLE_resamp_caldate",0.01,50,10,5,"Pleistocene",100,6150.90196490671
"167","OLE_resamp_caldate",0.01,50,40,10,"Holocene",98.4552008238929,1369.04317277612
"168","OLE_resamp_caldate",0.01,50,40,10,"Pleistocene",99.7,1978.33896934459
"169","OLE_resamp_caldate",0.01,50,40,40,"Holocene",88.4654994850669,1451.41429288573
"170","OLE_resamp_caldate",0.01,50,40,40,"Pleistocene",97.4,1951.08595375783
"171","OLE_resamp_caldate",0.01,50,40,5,"Holocene",100,3033.99917910276
"172","OLE_resamp_caldate",0.01,50,40,5,"Pleistocene",100,4474.56938529136
"173","OLE_resamp_caldate",0.01,50,80,10,"Holocene",99.6910401647786,1164.39841287442
"174","OLE_resamp_caldate",0.01,50,80,10,"Pleistocene",100,1698.3206801217
"175","OLE_resamp_caldate",0.01,50,80,40,"Holocene",97.6313079299691,1081.50761895552
"176","OLE_resamp_caldate",0.01,50,80,40,"Pleistocene",99.7,1509.12298128524
"177","OLE_resamp_caldate",0.01,50,80,5,"Holocene",100,2642.84606531365
"178","OLE_resamp_caldate",0.01,50,80,5,"Pleistocene",100,3939.57435969648
"179","OLE_resamp_caldate",0.01,50,80,80,"Holocene",95.0566426364573,1405.95003952564
"180","OLE_resamp_caldate",0.01,50,80,80,"Pleistocene",98.9,1905.93195080765
"181","OLE_resamp_caldate",0.03,20,10,10,"Holocene",95.2626158599382,1973.19078770809
"182","OLE_resamp_caldate",0.03,20,10,10,"Pleistocene",99.4,2725.87013843388
"183","OLE_resamp_caldate",0.03,20,10,5,"Holocene",99.3820803295572,3323.46853613858
"184","OLE_resamp_caldate",0.03,20,10,5,"Pleistocene",100,5460.45275929932
"185","OLE_resamp_caldate",0.03,20,40,10,"Holocene",97.83728115345,920.609843438325
"186","OLE_resamp_caldate",0.03,20,40,10,"Pleistocene",99.9,1732.74855106804
"187","OLE_resamp_caldate",0.03,20,40,40,"Holocene",90.5252317198764,1288.04787316425
"188","OLE_resamp_caldate",0.03,20,40,40,"Pleistocene",99.2,1881.40356951972
"189","OLE_resamp_caldate",0.03,20,40,5,"Holocene",100,1969.95367108889
