"r","Sd","ESS","sample_size","method","Period","avg_accuracy","avg_precision","avg_agreementindex","prop_agrementindex_over_60","avg_accuracy_agreementindex_over_60"
0.01,20,40,40,"OLE_resamp_unif","Pleistocene",0.992,2207.54327384566,NA,NA,NA
0.01,20,40,40,"oxcal_trap","Holocene",0.926829268292683,286.548250265111,94.8588971367975,1,0.926829268292683
0.01,20,40,40,"oxcal_trap","Pleistocene",0.926,456.7315,91.83325,0.908,0.932819383259912
0.01,20,40,40,"oxcal_unif","Holocene",0.35815991237678,147.972070098576,91.501139101862,1,0.35815991237678
0.01,20,40,40,"oxcal_unif","Pleistocene",0.446,317.8655,85.13144,0.884,0.429864253393665
0.01,20,40,80,"OLE_medians","Holocene",0.808444902162719,892.8477854769,NA,NA,NA
0.01,20,40,80,"OLE_medians","Pleistocene",0.956,1252.20808374278,NA,NA,NA
0.01,20,40,80,"OLE_resamp_caldate","Holocene",0.942327497425335,962.924496729401,NA,NA,NA
0.01,20,40,80,"OLE_resamp_caldate","Pleistocene",0.999,1478.59175183266,NA,NA,NA
0.01,20,40,80,"OLE_resamp_norm","Holocene",0.971163748712667,1037.74416977296,NA,NA,NA
0.01,20,40,80,"OLE_resamp_norm","Pleistocene",1,1803.60480736157,NA,NA,NA
0.01,20,40,80,"OLE_resamp_unif","Holocene",0.971163748712667,1046.96795282236,NA,NA,NA
0.01,20,40,80,"OLE_resamp_unif","Pleistocene",1,1642.82597427264,NA,NA,NA
0.01,20,80,80,"CRIWM","Holocene",0.717,143.468,NA,NA,NA
0.01,20,80,80,"CRIWM","Pleistocene",0.535,356.496,NA,NA,NA
0.01,20,80,80,"OLE_medians","Holocene",0.770339855818744,1237.94955698509,NA,NA,NA
0.01,20,80,80,"OLE_medians","Pleistocene",0.896,1597.26923246164,NA,NA,NA
0.01,20,80,80,"OLE_resamp_caldate","Holocene",0.877445932028836,1288.9088177082,NA,NA,NA
0.01,20,80,80,"OLE_resamp_caldate","Pleistocene",0.985,1858.19563720752,NA,NA,NA
0.01,20,80,80,"OLE_resamp_norm","Holocene",0.934088568486097,1351.26956917324,NA,NA,NA
0.01,20,80,80,"OLE_resamp_norm","Pleistocene",1,2175.52876556835,NA,NA,NA
0.01,20,80,80,"OLE_resamp_unif","Holocene",0.929969104016478,1367.3017493635,NA,NA,NA
0.01,20,80,80,"OLE_resamp_unif","Pleistocene",0.997,2135.52093989442,NA,NA,NA
0.01,20,80,80,"oxcal_trap","Holocene",0.869565217391304,205.562036055143,91.6362884411453,0.997879109225875,0.871413390010627
0.01,20,80,80,"oxcal_trap","Pleistocene",0.919,366.2535,90.35201,0.889,0.926884139482565
0.01,20,80,80,"oxcal_unif","Holocene",0.192349726775956,98.0814207650273,87.0884918032787,0.99344262295082,0.192519251925193
0.01,20,80,80,"oxcal_unif","Pleistocene",0.234,230.3155,78.41185,0.8,0.21125
0.01,50,5,10,"OLE_medians","Holocene",0.915550978372812,4459.29440403817,NA,NA,NA
0.01,50,5,10,"OLE_medians","Pleistocene",0.936,5128.21842539103,NA,NA,NA
0.01,50,5,10,"OLE_resamp_caldate","Holocene",1,4486.83207270296,NA,NA,NA
0.01,50,5,10,"OLE_resamp_caldate","Pleistocene",1,6150.90196490671,NA,NA,NA
0.01,50,5,10,"OLE_resamp_norm","Holocene",1,5094.06323614202,NA,NA,NA
