"","r","Sd","sample_size","ESS","method","Period","accuracy","precision","overallAgreement","Accuracy_agreement_prop_over_60","Mean_accuracy_agreement_over_60"
"59",0.01,50,40,40,"oxcal_unif","Pleistocene",48.9,337.4875,85.0976,0.884,89.9023
"60",0.01,50,80,80,"oxcal_unif","Pleistocene",25.5,244.834,77.7492,0.81,85.8227
"61",0.03,20,10,10,"oxcal_unif","Pleistocene",78.3,560.1325,92.9111,0.969,94.1394
"62",0.03,20,40,40,"oxcal_unif","Pleistocene",80.7,323.553,88.2758,0.912,92.1758
"63",0.03,20,80,80,"oxcal_unif","Pleistocene",70.6,237.013,84.3693,0.857,91.212
"64",0.03,50,10,10,"oxcal_unif","Pleistocene",77.4,581.36,92.8602,0.981,93.5761
"65",0.03,50,40,40,"oxcal_unif","Pleistocene",84.2,344.958,87.5187,0.904,91.7615
"66",0.03,50,80,80,"oxcal_unif","Pleistocene",74.3,250.788,81.9249,0.837,89.2401
"67",0.06,20,10,10,"oxcal_unif","Pleistocene",79.4,559.4205,93.0208,0.981,93.7687
"68",0.06,20,40,40,"oxcal_unif","Pleistocene",90.9,331.353,89.597,0.92,93.2333
"69",0.06,20,80,80,"oxcal_unif","Pleistocene",87.2,238.4345,84.8054,0.861,91.158
"70",0.06,50,10,10,"oxcal_unif","Pleistocene",79.1,586.1075,92.6715,0.981,93.407
"71",0.06,50,40,40,"oxcal_unif","Pleistocene",87.9,347.9015,88.0469,0.903,92.4617
"72",0.06,50,80,80,"oxcal_unif","Pleistocene",88.4,254.016,84.6961,0.86,91.2699
